Year,Population
1950,19431819
1951,19764482
1952,20154601
1953,20516667
1954,20871197
1955,21214741
1956,21518344
1957,21821115
1958,22103112
1959,22340655
1960,22592899
1961,22851104
1962,23117568
1963,23381379
1964,23615965
1965,23806497
1966,23973490
1967,24115345
1968,24202061
1969,24204009
1970,24145603
1971,24000084
1972,23733706
1973,23500248
1974,23225262
1975,22981522
1976,22818413
1977,22709894
1978,22697885
1979,22757579
1980,22800212
1981,23036195
1982,23499723
1983,24376507
1984,25090882
1985,25720721
1986,26300994
1987,27929525
1988,29172518
1989,30412653
1990,31372660
1991,32624090
1992,33935730
1993,34989311
1994,36175402
1995,37525981
1996,39080901
1997,39850150
1998,40713996
1999,41634002
2000,42737518
2001,43514817
2002,44141719
2003,44612723
2004,44990888
2005,45124056
2006,45017854
2007,44632100
2008,44195996
2009,43842260
2010,43547101
2011,43243196
2012,42743073
2013,42078659
2014,41380917
2015,40920393
2016,40612089
2017,40499000
2018,40423162
2019,40342559
2020,40331554
